Date,Open,High,Low,Close,Volume
2013-07-10 00:00:00.000000,0.0,0.0,0.0,0.0,0.0
2020-04-10 00:00:00.000000,0.8681,1.338,0.5501,0.9483,65581892.36
2020-04-11 00:00:00.000000,0.9496,1.051,0.7689,0.7973,1429348.17
2020-04-12 00:00:00.000000,0.7893,0.9368,0.7633,0.8801,19348665.6
2020-04-13 00:00:00.000000,0.8801,0.8794,0.7751,0.7806,8548013.35
2020-04-14 00:00:00.000000,0.7806,0.8015,0.6264,0.6672,8436976.32
2020-04-15 00:00:00.000000,0.6672,0.6862,0.61,0.6382,5369465.91
2020-04-16 00:00:00.000000,0.6382,0.8082,0.6757,0.6919,12357189.08
2020-04-17 00:00:00.000000,0.6928,0.721,0.6536,0.6555,190583.52
2020-04-18 00:00:00.000000,0.6559,0.7253,0.6763,0.6791,2712692.79
2020-04-19 00:00:00.000000,0.6786,0.6581,0.5928,0.6047,130946.59
2020-04-20 00:00:00.000000,0.6047,0.6099,0.5217,0.5321,2417317.4
2020-04-21 00:00:00.000000,0.5321,0.5961,0.5092,0.5786,3552614.56
2020-04-22 00:00:00.000000,0.5789,0.7143,0.5865,0.6917,481042.83
2020-04-23 00:00:00.000000,0.6941,0.7356,0.6074,0.6313,6547255.09
2020-04-24 00:00:00.000000,0.6341,0.6642,0.6064,0.6229,141407.75
2020-04-25 00:00:00.000000,0.6254,0.6705,0.6188,0.6463,1525895.29
2020-04-26 00:00:00.000000,0.6463,0.7003,0.6271,0.6371,1725436.62
2020-04-27 00:00:00.000000,0.6371,0.6616,0.5683,0.5702,2131561.96
2020-04-28 00:00:00.000000,0.5702,0.7037,0.5682,0.6575,4495857.32
2020-04-29 00:00:00.000000,0.6554,0.7906,0.6917,0.7469,186030.85
2020-04-30 00:00:00.000000,0.747,0.785,0.671,0.6923,2432727.11
2020-05-01 00:00:00.000000,0.6923,0.7416,0.6841,0.7244,1710781.07
2020-05-02 00:00:00.000000,0.7244,0.7594,0.7084,0.7129,1078113.33
2020-05-03 00:00:00.000000,0.7129,0.7124,0.6518,0.682,1033093.79
2020-05-04 00:00:00.000000,0.682,0.7073,0.6277,0.6661,1274982.17
2020-05-05 00:00:00.000000,0.6661,0.6934,0.6386,0.6477,810509.54
2020-05-06 00:00:00.000000,0.6477,0.6779,0.6133,0.6182,708187.18
2020-05-07 00:00:00.000000,0.6171,0.6494,0.58,0.6088,114546.28
2020-05-08 00:00:00.000000,0.6085,0.6244,0.5769,0.6039,554917.82
2020-05-09 00:00:00.000000,0.6039,0.6187,0.5844,0.6029,330656.67
2020-05-10 00:00:00.000000,0.6029,0.6106,0.5316,0.5414,477907.53
2020-05-11 00:00:00.000000,0.5414,0.5611,0.5058,0.5156,469284.42
2020-05-12 00:00:00.000000,0.5156,0.5557,0.5204,0.5366,380005.6
2020-05-13 00:00:00.000000,0.5366,0.5798,0.5307,0.5535,580655.3
2020-05-14 00:00:00.000000,0.5544,0.5897,0.5504,0.5722,32249.14
2020-05-15 00:00:00.000000,0.5717,0.5587,0.5423,0.5571,154811.51
2020-05-16 00:00:00.000000,0.5577,0.6005,0.5684,0.5986,34047.72
2020-05-17 00:00:00.000000,0.5996,0.6514,0.6036,0.6139,833132.65
2020-05-18 00:00:00.000000,0.6147,0.6878,0.6191,0.6532,68320.49
2020-05-19 00:00:00.000000,0.6531,0.6599,0.6111,0.6229,402997.6
