Date,Open,High,Low,Close,Volume
2013-07-10 00:00:00.000000,0.0,0.0,0.0,0.0,0.0
2020-04-10 00:00:00.000000,0.8681,1.338,0.5501,0.9483,65581892.36
2020-04-11 00:00:00.000000,0.9496,1.051,0.7689,0.7973,1429348.17
2020-04-12 00:00:00.000000,0.7893,0.9368,0.7633,0.8801,19348665.6
2020-04-13 00:00:00.000000,0.8801,0.8794,0.7751,0.7806,8548013.35
2020-04-14 00:00:00.000000,0.7806,0.8015,0.6264,0.6672,8436976.32
2020-04-15 00:00:00.000000,0.6672,0.6862,0.61,0.6382,5369465.91
2020-04-16 00:00:00.000000,0.6382,0.8082,0.6757,0.6919,12357189.08
2020-04-17 00:00:00.000000,0.6928,0.721,0.6536,0.6555,190583.52
2020-04-18 00:00:00.000000,0.6555,0.7288,0.6761,0.6786,170858.24
2020-04-19 00:00:00.000000,0.6791,0.6699,0.5941,0.6047,2659174.41
2020-04-20 00:00:00.000000,0.6047,0.5887,0.5171,0.5331,88264.23
2020-04-21 00:00:00.000000,0.5321,0.5961,0.5092,0.5786,3552614.56
2020-04-22 00:00:00.000000,0.5786,0.7123,0.5901,0.6941,10732258.56
2020-04-23 00:00:00.000000,0.6917,0.7152,0.6099,0.6341,283719.64
2020-04-24 00:00:00.000000,0.6313,0.6668,0.6107,0.6254,2293437.4
2020-04-25 00:00:00.000000,0.6254,0.6705,0.6188,0.6463,1525895.29
2020-04-26 00:00:00.000000,0.6442,0.693,0.634,0.6346,121015.51
2020-04-27 00:00:00.000000,0.6371,0.6616,0.5683,0.5702,2131561.96
2020-04-28 00:00:00.000000,0.5702,0.7037,0.5682,0.6575,4495857.32
2020-04-29 00:00:00.000000,0.6575,0.8346,0.7104,0.747,5545420.54
2020-04-30 00:00:00.000000,0.747,0.785,0.671,0.6923,2432727.11
2020-05-01 00:00:00.000000,0.6923,0.7416,0.6841,0.7244,1710781.07
2020-05-02 00:00:00.000000,0.7244,0.7594,0.7084,0.7129,1078113.33
2020-05-03 00:00:00.000000,0.7079,0.7089,0.6476,0.6808,104064.13
2020-05-04 00:00:00.000000,0.682,0.7073,0.6277,0.6661,1274982.17
2020-05-05 00:00:00.000000,0.6699,0.6756,0.6332,0.6445,60562.03
2020-05-06 00:00:00.000000,0.6477,0.6779,0.6133,0.6182,708187.18
2020-05-07 00:00:00.000000,0.6171,0.6494,0.58,0.6088,114546.28
2020-05-08 00:00:00.000000,0.6085,0.6244,0.5769,0.6039,554917.82
2020-05-09 00:00:00.000000,0.6039,0.6187,0.5844,0.6029,330656.67
2020-05-10 00:00:00.000000,0.6037,0.6201,0.5347,0.5413,63479.69
2020-05-11 00:00:00.000000,0.5413,0.5634,0.5177,0.5183,72789.27
2020-05-12 00:00:00.000000,0.5156,0.5557,0.5204,0.5366,380005.6
2020-05-13 00:00:00.000000,0.5366,0.5798,0.5307,0.5535,580655.3
2020-05-14 00:00:00.000000,0.5535,0.6089,0.5576,0.5717,347232.33
2020-05-15 00:00:00.000000,0.5717,0.5587,0.5423,0.5571,154811.51
2020-05-16 00:00:00.000000,0.5571,0.5998,0.5597,0.5996,438228.38
2020-05-17 00:00:00.000000,0.5986,0.6422,0.5958,0.6147,84873.86
2020-05-18 00:00:00.000000,0.6139,0.6884,0.6065,0.6531,1169503.93
2020-05-19 00:00:00.000000,0.6531,0.6599,0.6111,0.6229,402997.6
