time,open,high,low,close,volume
2024-06-29,60312.36,60613.9,60273.8,60611.48,260.079966
2024-06-28,61611.43,62170.62,59868.0,60313.35,11381.0258738
2024-06-27,60818.86,62346.16,60546.94,61615.39,10530.35898848
2024-06-26,61794.47,62470.0,60656.8,60816.68,11392.77845136
2024-06-25,60262.16,62400.0,60217.36,61789.71,15197.9840832
2024-06-24,63169.36,63343.91,58414.28,60263.0,21418.04594647
2024-06-23,64235.0,64499.95,63125.75,63171.43,2054.79092364
2024-06-22,64120.28,64523.91,63910.01,64235.01,2323.96261336
2024-06-21,64840.89,65017.1,63300.93,64120.28,9816.79599936
2024-06-20,64945.67,66455.52,64500.0,64840.88,9346.70807899
2024-06-19,65150.9,65709.26,64635.48,64943.79,4958.38361329
2024-06-18,66481.81,66574.33,64010.01,65152.8,15937.73176483
2024-06-17,66629.38,67274.96,65050.0,66481.81,14487.64060903
2024-06-16,66192.0,66931.18,65999.0,66628.75,2118.65163435
2024-06-15,66004.36,66428.57,65800.86,66192.0,2004.1421548
2024-06-14,66746.46,67322.72,65005.0,66004.39,11520.15791899
2024-06-13,68248.59,68474.49,66200.0,66738.85,11916.13211129
2024-06-12,67316.52,70032.0,66883.32,68248.6,17140.01139413
2024-06-11,69495.97,69547.82,66018.69,67316.53,17354.68915468
2024-06-10,69641.08,70187.53,69141.51,69497.73,6088.40363232
2024-06-09,69303.8,69848.94,69123.99,69637.87,1826.03995531
2024-06-08,69326.71,69546.58,69126.22,69304.05,2631.94610412
2024-06-07,70773.63,71974.04,68298.55,69324.53,13768.98185265
2024-06-06,71120.65,71650.56,70093.98,70773.64,7716.5079994
2024-06-05,70541.68,71804.13,70356.49,71121.11,10123.1802918
2024-06-04,68791.04,71108.9,68542.37,70542.32,18042.19396496
2024-06-03,67731.14,70295.78,67568.0,68791.0,11884.90882705
2024-06-02,67719.29,68411.0,67260.0,67735.52,2997.15241527
2024-06-01,67473.07,67837.33,67371.28,67719.29,1949.57008052
2024-05-31,68338.58,69024.71,66584.47,67472.41,10690.85876224
2024-05-30,67569.44,69536.89,67092.91,68338.58,11841.26381893
2024-05-29,68321.99,68864.11,67081.66,67569.45,8970.02059069
2024-05-28,69366.31,69533.96,67194.59,68321.98,11975.93086328
2024-05-27,68470.8,70613.39,68210.12,69368.72,5384.62278063
2024-05-26,69289.69,69522.0,68097.38,68473.72,2037.67329089
2024-05-25,68545.52,69605.03,68487.44,69289.67,2501.11901959
2024-05-24,67932.79,69278.75,66587.91,68547.8,10374.95988085
2024-05-23,69109.93,70066.95,66259.0,67940.45,14340.27843589
2024-05-22,70142.88,70659.99,68887.52,69109.93,10889.10300904
2024-05-21,71432.16,71980.0,69146.01,70142.84,16102.06132545
2024-05-20,66260.04,71560.9,66057.03,71432.17,20415.88691709
2024-05-19,66923.87,67701.91,65852.02,66261.62,3565.11346165
2024-05-18,67046.34,67407.79,66624.06,66923.87,3880.58113972
2024-05-17,65252.17,67500.0,65113.46,67046.33,11710.00723895
2024-05-16,66244.68,66772.83,64588.5,65252.18,12012.70197182
2024-05-15,61539.7,66480.0,61299.57,66244.69,21821.38858725
2024-05-14,62927.44,63103.02,61024.51,61539.84,13456.61307634
2024-05-13,61453.01,63456.18,60738.51,62932.37,9170.80865115
2024-05-12,60814.64,61843.45,60576.05,61453.02,2694.97577935
2024-05-11,60787.99,61482.0,60450.13,60814.63,2338.06810837
2024-05-10,63073.55,63470.0,60150.0,60787.47,11511.12990976
2024-05-09,61169.53,63424.14,60601.6,63073.57,8360.0553824
2024-05-08,62315.75,63013.05,60851.04,61169.53,7486.42596849
2024-05-07,63161.35,64415.06,62252.64,62315.76,8994.93773002
2024-05-06,64023.45,65523.44,62704.48,63162.24,11241.77217344
2024-05-05,63902.88,64636.75,62908.34,64023.45,4474.5195919
2024-05-04,62913.03,64546.0,62565.82,63902.88,6414.57464352
2024-05-03,59070.3,63365.72,58821.05,62913.03,15954.29032707
2024-05-02,58267.81,59641.03,56903.79,59071.89,13593.00905888
2024-05-01,60621.2,60785.49,56500.0,58265.59,26611.9312734
2024-04-30,63845.01,64727.81,59040.3,60622.1,21106.65540758
2024-04-29,63109.76,64200.0,61741.01,63844.85,10712.13554316
2024-04-28,63422.34,64333.33,62743.81,63108.94,4415.96831554
2024-04-27,63742.39,63900.0,62389.0,63422.0,5312.16741262
2024-04-26,64484.44,64810.0,63287.76,63742.39,10151.96247701
2024-04-25,64255.77,65287.69,62747.18,64484.44,13256.29877715
2024-04-24,66418.0,67077.97,63542.56,64255.78,15083.5524347
2024-04-23,66856.07,67225.66,65823.66,66414.16,8840.16749844
2024-04-22,64952.92,67272.73,64520.0,66859.17,10977.05178637
2024-04-21,64960.82,65725.81,64250.0,64952.92,4487.48723219
2024-04-20,63841.96,65463.08,63121.15,64968.87,5157.40726514
2024-04-19,63514.84,65498.99,59573.32,63848.37,22838.07934159
2024-04-18,61275.73,64210.0,60816.07,63513.85,15249.84211445
2024-04-17,63814.94,64524.14,59648.33,61279.36,21812.15297865
2024-04-16,63452.18,64400.0,61645.09,63814.94,17710.28213211
2024-04-15,65764.56,66928.82,62315.08,63452.18,21672.73701332
2024-04-14,64021.36,65890.91,62150.0,65777.05,21604.05147827
2024-04-13,67148.62,69100.0,60822.01,64024.77,27548.47240557
2024-04-12,70020.71,71265.74,65110.31,67148.61,23509.75554216
2024-04-11,70638.4,71305.86,69530.0,70020.73,11001.16448135
2024-04-10,69115.79,71159.6,67463.07,70634.04,16655.987797
2024-04-09,71616.31,71761.37,68200.0,69117.01,15143.52341376
2024-04-08,69350.36,72777.0,69037.33,71622.53,16648.69284289
2024-04-07,68919.57,70312.0,68846.23,69350.34,5766.41938443
2024-04-06,67856.51,69685.0,67469.19,68919.89,3985.44167764
2024-04-05,68528.69,68783.99,66000.0,67856.51,15515.82134206
2024-04-04,65984.18,69367.19,65073.95,68525.23,18624.08140025
2024-04-03,65472.0,66944.06,64500.0,65987.92,14506.55934744
2024-04-02,69681.85,69711.0,64521.61,65464.14,23496.58634089
2024-04-01,71291.5,71313.8,68055.15,69681.82,13916.60016523
2024-03-31,69623.86,71399.91,69587.86,71288.9,4424.66955382
2024-03-30,69903.74,70363.25,69569.03,69626.87,3262.62331859
2024-03-29,70804.06,70941.7,69036.95,69903.75,7365.03204354
2024-03-28,69437.16,71635.99,68841.01,70801.18,15224.17928189
2024-03-27,69994.9,71789.85,68369.62,69435.96,18703.73738295
2024-03-26,69895.6,71582.96,69269.69,69992.4,15697.73440865
2024-03-25,67212.69,71269.92,66381.84,69890.28,22228.13803338
2024-03-24,63998.87,67637.6,63785.57,67204.93,6535.8276512
2024-03-23,63814.56,66029.09,63013.19,63998.86,7395.08270425
2024-03-22,65478.98,66651.1,62258.36,63814.56,17807.65930238
2024-03-21,67855.88,68234.56,64525.0,65484.7,18523.96247162
2024-03-20,61902.57,68150.0,60771.14,67858.8,38590.78345488
2024-03-19,67609.39,68136.39,61506.0,61906.27,40111.97553957
2024-03-18,68354.29,68933.71,66562.65,67613.04,20057.37580028
2024-03-17,65254.22,68877.82,64505.0,68343.64,12631.85084112
2024-03-16,69514.87,70050.0,64774.05,65254.22,16532.825303
2024-03-15,71364.58,72414.96,65565.7,69506.88,40195.84231178
2024-03-14,73135.04,73835.57,68454.47,71364.58,34226.602618
2024-03-13,71473.43,73709.99,71337.3,73135.04,21455.92195688
2024-03-12,72110.98,73027.63,68603.0,71475.93,29420.19277654
2024-03-11,69032.8,72943.98,67112.21,72110.98,32332.72583229
2024-03-10,68480.01,70000.0,68221.13,69032.12,12163.05713369
2024-03-09,68289.16,68700.41,68047.62,68480.0,9005.50992187
2024-03-08,66938.21,70199.0,66157.09,68289.16,33749.52797544
2024-03-07,66115.48,68098.09,65599.63,66938.21,22228.36739914
2024-03-06,63802.15,67654.06,62832.39,66122.28,34655.98799427
2024-03-05,68356.7,69324.58,59224.68,63800.78,65575.09537327
2024-03-04,63155.74,68602.98,62300.0,68360.14,40600.36656889
2024-03-03,62045.78,63260.0,61388.0,63154.49,7314.17629968
2024-03-02,62439.74,62500.0,61623.39,62045.78,6882.38410251
2024-03-01,61179.03,63267.18,60788.33,62436.72,24696.65692545
2024-02-29,62520.06,63675.48,60355.61,61179.03,36825.89535085
2024-02-28,57077.08,64100.0,56723.48,62518.9,48265.6721171
2024-02-27,54530.32,57646.81,54490.8,57077.07,28791.48651731
2024-02-26,51730.96,54980.0,50901.23,54533.48,22422.38763854
2024-02-25,51568.63,51967.82,51275.01,51731.0,3617.40106809
2024-02-24,50746.98,51696.19,50576.55,51570.65,3448.96576791
2024-02-23,51260.29,51512.68,50513.01,50747.05,11679.16625824
2024-02-22,51851.46,52076.0,50905.65,51258.7,13104.51408087
2024-02-21,52277.53,52394.91,50628.6,51851.67,13735.03407249
2024-02-20,51787.05,53000.0,50764.01,52277.52,15888.87599974
2024-02-19,52153.63,52501.01,51687.98,51787.05,6009.01451962
2024-02-18,51666.23,52400.0,51174.38,52153.63,3997.17143898
2024-02-17,52162.65,52214.05,50642.36,51666.22,5387.3486576
2024-02-16,51935.23,52608.2,51597.87,52162.64,13816.27351282
2024-02-15,51858.51,52890.0,51353.49,51934.29,18465.04404385
2024-02-14,49724.55,52111.0,49253.92,51858.59,20249.94369733
